primary_category,count,cum_pct
cs.AR,4248,96.29568119698637
physics.ao-ph,4213,96.44329335226749
math.GM,4194,96.59023979880179
stat.CO,4016,96.7309496054975
cs.DL,3803,96.86419646676835
cs.GR,3519,96.98749273413941
math.GN,3462,97.10879187527
cs.MA,3435,97.22914500923409
physics.ed-ph,3425,97.34914777017352
physics.data-an,3389,97.46788918822425
physics.hist-ph,3364,97.58575467371337
q-bio.BM,3310,97.70172814486943
econ.EM,3186,97.81335699051996
cs.FL,3172,97.92449531393598
math.HO,3147,98.03475770479041
nlin.AO,2871,98.13534980016475
math.KT,2602,98.22651686117625
cs.MM,2586,98.31712332534833
cs.ET,2538,98.40604799900213
physics.space-ph,2402,98.49020759952083
q-bio.MN,2363,98.57300074524342
econ.TH,2301,98.65362157821325
q-fin.ST,2204,98.73084379284404
cs.OH,2097,98.8043170161112
q-bio.GN,2047,98.87603837425515
chao-dyn,1770,98.93805439961655
q-fin.MF,1746,98.99922952971882
q-fin.GN,1639,99.05665566845742
q-fin.RM,1443,99.10721449591307
q-fin.CP,1418,99.15689739080712
physics.pop-ph,1386,99.20545909202232
cs.SC,1354,99.25289959955867
q-fin.PM,1315,99.29897365229891
cs.PF,1302,99.34459222010715
q-fin.PR,1274,99.38922974344636
q-bio.TO,1271,99.4337621548782
physics.atm-clus,1265,99.47808434249524
q-fin.TR,1226,99.52104007531618
alg-geom,1207,99.56333009939031
q-alg,1177,99.60456900439053
cs.MS,1118,99.64374070854535
cs.NA,1057,99.68077513724988
q-bio.CB,1015,99.7163379992509
q-bio.OT,993,99.75113004059773
cmp-lg,894,99.78245338900061
solv-int,844,99.81202487228028
stat.OT,716,99.83711158084455
q-bio.SC,692,99.86135739414969
cs.OS,596,99.88223962641827
dg-ga,562,99.90193059040308
nlin.CG,555,99.92137629327063
patt-sol,452,99.93721315398439
q-fin.EC,383,99.95063244082813
funct-an,320,99.96184437761663
adap-org,305,99.97253075486817
mtrl-th,165,99.97831190977475
comp-gas,140,99.9832171321197
chem-ph,128,99.98770190683511
cs.GL,114,99.991696159316
supr-con,69,99.99411373318604
atom-ph,68,99.99649626975359
acc-phys,46,99.99810798566693
plasm-ph,28,99.99908903013593
ao-sci,13,99.99954451506797
bayes-an,11,99.99992992539507
math.MP,1,99.99996496269755
stat.TH,1,100.0
