author,cat_earliest,cat_latest
 A. Richter,nlin.CD,hep-ex
 A. Ringwald,hep-ph,hep-ex
 A. Robert,hep-ph,astro-ph
 A. Roccaro,physics.ins-det,astro-ph
 A. Rocchi,gr-qc,cs.AR
 A. Rod Gover,math.OA,math.DG
 A. Rodriguez,cond-mat.dis-nn,quant-ph
 A. Rodríguez,physics.ins-det,astro-ph
 A. Rossi,hep-ph,astro-ph
 A. S. Alexandrov,cond-mat.supr-con,cond-mat.mes-hall
 A. S. Bracker,cond-mat.other,cond-mat.mes-hall
 A. S. Bradley,cond-mat.other,quant-ph
 A. S. Cornell,hep-th,hep-ph
 A. S. Jensen,nucl-th,quant-ph
 A. S. Kotanjyan,hep-th,physics.class-ph
 A. S. Malguin,hep-ex,astro-ph
 A. S. Pikovsky,cond-mat.mes-hall,cond-mat.dis-nn
 A. S. Schneider,nucl-th,cond-mat.mtrl-sci
 A. S. Sorin,nlin.SI,nucl-th
 A. Sacchetti,cond-mat.mtrl-sci,cond-mat.str-el
 A. Sacuto,cond-mat.supr-con,cond-mat.str-el
 A. Saha,gr-qc,nucl-ex
 A. Sanchez,gr-qc,q-bio.PE
 A. Sargsyan,physics.atom-ph,physics.class-ph
 A. Satou,cond-mat.other,cond-mat.mes-hall
 A. Scardicchio,cond-mat.stat-mech,quant-ph
 A. Schliesser,quant-ph,physics.optics
 A. Schälicke,hep-ph,hep-ex
 A. Segura,cond-mat.mtrl-sci,astro-ph
 A. Sen,cond-mat.mes-hall,cond-mat.mtrl-sci
 A. Shahinyan,nucl-ex,physics.ins-det
 A. Shakouri,cond-mat.mtrl-sci,physics.gen-ph
 A. Simon,cond-mat.mtrl-sci,astro-ph
 A. Skopenkov,math.CO,math.DG
 A. Smerzi,quant-ph,cond-mat.stat-mech
 A. Sokolov,astro-ph,physics.optics
 A. Soni,hep-lat,hep-ph
 A. Sparavigna,cond-mat.mtrl-sci,cond-mat.soft
 A. St. J. Murphy,nucl-th,physics.ins-det
 A. Staiano,astro-ph,physics.ins-det
 A. Stasto,nucl-th,hep-ph
 A. Surzhykov,math-ph,physics.comp-ph
 A. Szostak,nucl-ex,physics.ins-det
 A. T. Avelar,quant-ph,hep-th
 A. Tanaka,cond-mat.str-el,cond-mat.mtrl-sci
 A. Tanasa,hep-th,math-ph
 A. Tarancón,cond-mat.dis-nn,cs.AR
 A. Tartaglia,astro-ph,gr-qc
 A. Teufel,hep-ex,nucl-ex
 A. Tonazzo,hep-ex,hep-ph
 A. Trombettoni,cond-mat.supr-con,cond-mat.stat-mech
 A. Turowiecki,nucl-ex,hep-ex
 A. U. B. Wolter,cond-mat.mtrl-sci,cond-mat.stat-mech
 A. V. Berdyugin,hep-ex,astro-ph
 A. V. Boris,cond-mat.str-el,cond-mat.supr-con
 A. V. Efremov,hep-ph,cond-mat.str-el
 A. V. Fedorov,cond-mat.mtrl-sci,physics.class-ph
 A. V. Kotikov,hep-ph,hep-th
 A. V. Lebedev,math.OA,cond-mat.mes-hall
 A. V. Luchinsky,hep-ex,hep-ph
 A. V. Plyukhin,cond-mat.stat-mech,cond-mat.soft
