author,cat_earliest,cat_latest
 Jonathan Tennyson,astro-ph,physics.atom-ph
 Jonathan Vos Post,gr-qc,q-fin.GN
 Jonathan Weare,stat.CO,math.NA
 Jorge Alfaro,hep-th,astro-ph
 Jorge Aravena,cs.IT,math.OC
 Jorge Kurchan,cond-mat.stat-mech,cond-mat.dis-nn
 Jorge Sánchez-Ruiz,math-ph,quant-ph
 Jorgen Ellegaard Andersen,math.QA,math.GT
 Jorma Louko,hep-th,gr-qc
 Jose A. R. Cembranos,astro-ph,hep-ph
 Jose Capco,math.AC,math.RA
 Jose Gaite,astro-ph,physics.space-ph
 Jose J. Blanco-Pillado,hep-th,astro-ph
 Jose R. Salgueiro,nlin.PS,physics.comp-ph
 Josef Janyška,math.AC,math-ph
 Josef Silhan,math.OA,math.DG
 Josef Teichmann,math.OC,math.PR
 Joseph B. Keller,math-ph,math.CO
 Joseph Boutros,quant-ph,cs.IT
 Joseph I. Kapusta,astro-ph,hep-ph
 Joseph Lykken,astro-ph,hep-ph
 Joseph P. Straley,cond-mat.stat-mech,cond-mat.mes-hall
 Joseph Polchinski,astro-ph,hep-th
 Joseph Rudnick,cond-mat.dis-nn,cond-mat.soft
 Joseph S. Kong,cs.DC,physics.soc-ph
 Joseph Samuel,gr-qc,cond-mat.soft
 Josephine Yu,math.CO,math.MG
 Joshua B. Plotkin,q-bio.PE,q-bio.GN
 Joshua E. S. Socolar,cond-mat.other,q-bio.OT
 José Figueroa-O'Farrill,hep-th,math.DG
 Jouko Mickelsson,math.KT,math.DG
 Jozsef Garai,physics.gen-ph,physics.chem-ph
 Juan Garcia-Bellido,gr-qc,astro-ph
 Juan Jose Garcia-Ripoll,quant-ph,cond-mat.mes-hall
 Juan Li,math.PR,math-ph
 Juan M. López,nlin.CD,cond-mat.stat-mech
 Juan Pablo Paz,physics.hist-ph,quant-ph
 Juan Vera,physics.soc-ph,math.PR
 Juan Zhang,stat.ME,astro-ph
 Juan-Pablo Ortega,math.SG,math.PR
 Juergen Jost,math.DG,math-ph
 Juergen Schmidhuber,cs.AI,cs.DS
 Julia Brettschneider,math.DS,stat.ME
 Julia Fornleitner,cond-mat.soft,cond-mat.stat-mech
 Julia S. Meyer,cond-mat.other,cond-mat.mes-hall
 Julien Barral,math.PR,math.DS
 Julien Bect,math.PR,stat.CO
 Julien Langou,math.NA,cs.MS
 Julien M. Hendrickx,cs.MA,cond-mat.stat-mech
 Julien Marche,math.DG,math.GT
 Julio I. de Vicente,math-ph,quant-ph
 Julius Borcea,math.AG,math.CA
 Julius Vanko,quant-ph,physics.gen-ph
 Jun Chen,cs.IT,physics.atom-ph
 Jun He,nucl-th,quant-ph
 Jun Hu,math.QA,math.RT
 Jun Li,cond-mat.supr-con,cs.AR
 Jun Liu,cond-mat.mes-hall,cond-mat.stat-mech
 Jun Ohkubo,cond-mat.dis-nn,cond-mat.stat-mech
 Jun Ye,physics.atom-ph,physics.optics
 Jun Zhang,math.RA,quant-ph
 Jun'ichi Yokoyama,gr-qc,astro-ph
 Jun-nosuke Teramae,nlin.AO,nlin.PS
 Jung-Tsung Shen,quant-ph,cond-mat.str-el
 Jungjai Lee,gr-qc,hep-th
 Jungsang Kim,quant-ph,physics.atom-ph
 Juraj Boháčik,hep-th,hep-ph
 Jérémy Blanc,math.CO,math.AG
 Jörg Evers,nucl-th,quant-ph
 Jürgen Jost,q-bio.QM,math.CO
 Jürgen Kurths,physics.data-an,cond-mat.stat-mech
 Jürgen König,cond-mat.mes-hall,cond-mat.supr-con
 K. -W. Lee,cond-mat.str-el,cond-mat.supr-con
 K. -Y. Choi,cond-mat.mes-hall,cond-mat.str-el
 K. A. Bugaev,nucl-th,hep-ph
 K. A. Penson,math.CO,quant-ph
 K. B. Efetov,cond-mat.mes-hall,cond-mat.supr-con
 K. B. Gubbels,cond-mat.stat-mech,cond-mat.supr-con
 K. Behnia,cond-mat.supr-con,cond-mat.str-el
 K. Belov,astro-ph,hep-ph
 K. Binder,cond-mat.soft,physics.flu-dyn
 K. Blaum,nucl-ex,physics.atom-ph
 K. Bongs,cond-mat.stat-mech,gr-qc
 K. Capelle,cond-mat.str-el,cond-mat.mtrl-sci
 K. Conder,cond-mat.str-el,cond-mat.supr-con
 K. D. Nelson,hep-ex,cond-mat.supr-con
 K. Danzmann,gr-qc,physics.optics
 K. Dosen,math.CT,math.LO
 K. Ebata,cond-mat.mtrl-sci,cond-mat.str-el
 K. Flachbart,cond-mat.str-el,cond-mat.mtrl-sci
 K. Flensberg,cond-mat.supr-con,cond-mat.mes-hall
 K. Fransson,nucl-ex,hep-ex
 K. Fujii,cond-mat.str-el,physics.ins-det
 K. Fujita,nucl-ex,cond-mat.supr-con
 K. G. Arun,gr-qc,astro-ph
 K. H. Chen,cond-mat.mtrl-sci,physics.optics
 K. Hagino,nucl-ex,nucl-th
 K. Hamaguchi,hep-ph,astro-ph
 K. Imai,nucl-ex,astro-ph
 K. Ito,cond-mat.str-el,nucl-ex
 K. J. Hughes,cond-mat.other,physics.atom-ph
 K. Kaneko,nucl-th,cond-mat.str-el
 K. Karkkainen,cond-mat.other,cond-mat.mes-hall
 K. Kern,cond-mat.mtrl-sci,cond-mat.other
 K. Kilian,physics.ins-det,nucl-ex
 K. Kindo,cond-mat.mtrl-sci,cond-mat.str-el
 K. Kitagawa,physics.ins-det,cond-mat.str-el
 K. Kowalik,cond-mat.mtrl-sci,astro-ph
 K. Kowalski,hep-th,quant-ph
 K. Krishan,nucl-ex,cond-mat.soft
 K. Kudo,cond-mat.str-el,quant-ph
 K. Kulakowski,cond-mat.stat-mech,physics.soc-ph
 K. Langanke,nucl-ex,astro-ph
 K. Levin,cond-mat.supr-con,cond-mat.str-el
 K. Machida,cond-mat.supr-con,cond-mat.str-el
 K. Maeda,astro-ph,nucl-ex
 K. Mallick,cond-mat.stat-mech,cond-mat.soft
 K. Miyagawa,nucl-th,cond-mat.str-el
 K. Molmer,cond-mat.other,quant-ph
 K. Motoi,cond-mat.mes-hall,cond-mat.mtrl-sci
 K. N. Raghavan,math.AG,math.CO
 K. Nakanishi,nucl-ex,astro-ph
 K. Nenkov,cond-mat.supr-con,cond-mat.str-el
 K. Ni,astro-ph,physics.ins-det
 K. Nishijima,hep-th,astro-ph
 K. Nordtvedt,gr-qc,astro-ph
 K. O'Sullivan,physics.ins-det,physics.gen-ph
 K. O. Eyser,nucl-ex,hep-ex
 K. Ogawa,nucl-th,hep-lat
 K. Ogura,astro-ph,physics.plasm-ph
 K. Ohishi,cond-mat.str-el,cond-mat.supr-con
 K. Ohwada,cond-mat.other,cond-mat.str-el
 K. Oide,physics.acc-ph,hep-ph
 K. Ono,cond-mat.supr-con,math.SG
 K. P. Rajeev,cond-mat.mes-hall,cond-mat.other
 K. R. Brown,cond-mat.other,cond-mat.mes-hall
 K. R. Goodearl,math.RA,math.QA
 K. Rajagopal,nucl-ex,hep-ph
 K. Redlich,nucl-th,hep-ph
 K. S. Burch,cond-mat.supr-con,cond-mat.str-el
 K. S. Kim,nucl-th,physics.chem-ph
 K. S. Novoselov,cond-mat.mes-hall,cond-mat.other
 K. S. Thygesen,cond-mat.mes-hall,cond-mat.mtrl-sci
 K. Sadakane,cond-mat.soft,astro-ph
 K. Sasaki,cond-mat.mes-hall,hep-lat
 K. Schindler,cond-mat.supr-con,astro-ph
 K. Schmidt,physics.optics,hep-ph
 K. Schönning,nucl-ex,hep-ex
 K. Semba,cond-mat.supr-con,cond-mat.mes-hall
 K. Sengstock,cond-mat.stat-mech,gr-qc
 K. Sengupta,cond-mat.stat-mech,cond-mat.mes-hall
 K. Shen,cond-mat.mtrl-sci,cond-mat.mes-hall
 K. Smith,physics.acc-ph,astro-ph
 K. Splittorff,hep-lat,hep-th
 K. Sudoh,hep-ph,astro-ph
 K. T. Law,cond-mat.other,cond-mat.mes-hall
 K. Tanaka,cond-mat.mtrl-sci,cond-mat.str-el
 K. Trabelsi,hep-ph,hep-ex
 K. Triantafyllopoulos,q-fin.ST,stat.ME
 K. V. Protasov,nucl-ex,hep-ph
 K. Vyborny,cond-mat.mes-hall,cond-mat.mtrl-sci
 K. W. Lehnert,cond-mat.supr-con,quant-ph
 K. Wang,nucl-th,nucl-ex
 K. Y. Michael Wong,cs.DS,cond-mat.dis-nn
 K. Yamada,cond-mat.supr-con,cond-mat.str-el
 K. Yu. Bliokh,quant-ph,physics.optics
 K. Ziegler,cond-mat.mes-hall,cond-mat.other
 K. Zyczkowski,quant-ph,nlin.SI
 Kai Schwenzer,hep-ph,hep-th
 Kai Wang,hep-ph,nlin.CD
 Kanat Abdukhalikov,math.CO,math.NT
 Kanehisa Takasaki,hep-th,nlin.SI
 Kang Li,hep-th,math-ph
 Karel Dekimpe,math.DG,math.RA
 Kari Enqvist,astro-ph,hep-th
 Karim A. Malik,hep-th,astro-ph
 Karin Baur,math.AG,math.CO
 Karl Rökaeus,math.GR,math.AG
 Karl-Henning Rehren,hep-th,math-ph
 Karl-Peter Marzlin,quant-ph,gr-qc
 Karlheinz Gröchenig,math.FA,math.PR
 Kaspar Rufibach,stat.ME,math.ST
 Kasper Peeters,hep-ph,hep-th
 Kasso A. Okoudjou,math.FA,math.AP
 Kateryna Mishchenko,q-bio.OT,q-bio.QM
 Kathryn A. Moler,cond-mat.supr-con,cond-mat.mes-hall
 Kathryn M. Zurek,astro-ph,hep-ph
 Katsuhiro Nishinari,physics.bio-ph,cond-mat.stat-mech
 Katsuro Sakai,math.GT,math.GN
 Kaushik Bhattacharya,hep-th,hep-ph
 Kaushik Mitra,cond-mat.supr-con,cond-mat.other
 Kazuaki Kuroda,gr-qc,physics.ins-det
 Kazufumi Kimoto,math.RT,math.NT
 Kazuharu Bamba,hep-ph,astro-ph
 Kazuhiro Yamamoto,gr-qc,astro-ph
 Kazuki Hasebe,hep-th,cond-mat.mes-hall
 Kazunori Kohri,hep-ph,astro-ph
 Kazutoshi Ohta,hep-th,hep-lat
 Kazuyasu Sugiyama,cond-mat.soft,physics.flu-dyn
 Kazuyuki Yoshimura,nlin.CD,nlin.AO
 Ke Deng,physics.soc-ph,physics.atom-ph
 Ke Wu,math-ph,quant-ph
 Kei Funano,math.MG,math.PR
 Keiichiro Nasu,cond-mat.str-el,cond-mat.mtrl-sci
 Keisuke Izumi,hep-th,gr-qc
 Keisuke Totsuka,cond-mat.str-el,cond-mat.stat-mech
 Keith E. Muller,stat.CO,math.ST
 Kelly R. Patton,cond-mat.str-el,cond-mat.mes-hall
 Kemin Zhou,math.ST,math.OC
 Ken D. Olum,gr-qc,hep-th
 Kengo Matsumoto,math.OA,math.DS
 Kenji Ishida,cond-mat.str-el,cond-mat.supr-con
 Kenji Morita,hep-ph,nucl-ex
 Kenji Sawamura,cond-mat.str-el,cond-mat.supr-con
 Kenta Kiuchi,gr-qc,astro-ph
 Kentaroh Yoshida,hep-ph,hep-th
 Keqin Liu,math.RA,cs.NI
 Kerry M. Soileau,math.GM,astro-ph
 Kerry Michael Soileau,cs.GT,math.GM
 Kevin Buchin,cs.CG,cs.NI
 Kevin E. Bassler,q-fin.ST,cond-mat.stat-mech
 Kevin Ingersent,cond-mat.str-el,cond-mat.mes-hall
 Kevin K. Lin,nlin.CD,math.DS
 Kh. Hessami Pilehrood,math.NT,math.CO
 Khageswor Giri,math.ST,stat.ME
 Khaled Karrai,cond-mat.other,cond-mat.mes-hall
 Khireddine Nouicer,gr-qc,quant-ph
 Khristo N. Boyadzhiev,math.NA,math.CA
 Ki-Suk Lee,cond-mat.other,cond-mat.mtrl-sci
 Ki-Young Choi,hep-ph,astro-ph
 Kieron Burke,cond-mat.mtrl-sci,cond-mat.other
 Kim Sneppen,q-bio.MN,nlin.CD
 Kimball A. Milton,hep-th,quant-ph
 Kimitoshi Kono,cond-mat.mes-hall,cond-mat.other
 Kin-Wang Ng,astro-ph,hep-ph
 Kira V. Khmelnytskaya,math.AP,math-ph
 Kiran S. Kedlaya,cs.CC,math.NT
 Kirill A. Kazakov,cond-mat.mes-hall,physics.flu-dyn
 Kishore N. Ananda,gr-qc,astro-ph
 Kiyoyuki Terakura,cond-mat.str-el,cond-mat.mtrl-sci
 Kjell Rosquist,gr-qc,nlin.SI
 Klaus Fredenhagen,cond-mat.other,math-ph
 Klaus Halterman,cond-mat.mtrl-sci,cond-mat.other
 Klaus Kirsten,hep-th,math-ph
 Klaus Larjo,astro-ph,hep-th
 Klaus Mecke,cond-mat.stat-mech,cond-mat.soft
 Klaus Richter,cond-mat.mes-hall,cond-mat.supr-con
 Klaus Werner,astro-ph,hep-ph
 Koenraad M. R. Audenaert,math.FA,quant-ph
 Kohkichi Konno,quant-ph,gr-qc
 Koji Fukao,cond-mat.mtrl-sci,cond-mat.soft
 Koji Maruyama,quant-ph,physics.hist-ph
 Koji Nuida,math.CO,math.AC
 Kolbjørn Tunstrøm,physics.chem-ph,cond-mat.soft
 Konrad Banaszek,physics.optics,quant-ph
 Konstantin Khanin,nlin.CD,math.DS
 Konstantin Rybnikov,math.MG,math.NT
 Konstantin V. Emtsev,cond-mat.str-el,cond-mat.mtrl-sci
 Konstantin Yu. Guslienko,nlin.PS,cond-mat.mtrl-sci
 Konstanze Rietsch,math.AG,math.RT
 Kostadin Trencevski,physics.optics,gr-qc
 Kostas Kokkotas,gr-qc,astro-ph
 Kotub Uddin,astro-ph,gr-qc
 Kourosh Nozari,cond-mat.str-el,hep-th
 Kristian Seip,physics.optics,math.CV
 Kristina Lerman,cs.CY,cs.AI
 Krzysztof Kulakowski,physics.data-an,physics.comp-ph
 Krzysztof Sacha,physics.atom-ph,cond-mat.other
 Kumar Rao,physics.pop-ph,hep-ph
 Kun Yang,cond-mat.other,cond-mat.mes-hall
 Kunihiko Kaneko,cond-mat.stat-mech,q-bio.MN
 Kunihiko Yamauchi,cond-mat.supr-con,cond-mat.mtrl-sci
 Kurusch Ebrahimi-Fard,math-ph,math.CO
 Kyle Pula,math.CO,math.GR
 L. -S. Bouchard,cond-mat.other,physics.chem-ph
 L. A. Falkovsky,cond-mat.mes-hall,cond-mat.mtrl-sci
 L. A. Fernández,cond-mat.dis-nn,cs.AR
 L. A. Glinka,hep-ph,gr-qc
 L. A. Maksimov,cond-mat.str-el,cond-mat.other
 L. A. Nunez,cs.CE,cs.DC
 L. Alff,cond-mat.str-el,cond-mat.supr-con
 L. Anchordoqui,astro-ph,hep-ph
 L. Arrachea,cond-mat.str-el,cond-mat.mes-hall
 L. Benet,nlin.CD,cond-mat.supr-con
 L. Benfatto,cond-mat.supr-con,cond-mat.mes-hall
 L. Bezrukov,physics.ins-det,hep-ph
 L. C. Chen,cond-mat.mtrl-sci,physics.optics
 L. C. L. Hollenberg,quant-ph,cond-mat.other
 L. Cacciapuoti,gr-qc,physics.atom-ph
 L. Chioncel,cond-mat.mtrl-sci,cond-mat.str-el
 L. Delle Site,cond-mat.stat-mech,quant-ph
 L. Demirörs,nucl-ex,hep-ex
 L. Despont,cond-mat.other,cond-mat.str-el
 L. Eaves,cond-mat.other,cond-mat.mtrl-sci
 L. Fang,nucl-th,cond-mat.other
 L. Forro,cond-mat.mtrl-sci,cond-mat.str-el
 L. Forró,cond-mat.str-el,cond-mat.supr-con
 L. G. Ferreira Filho,nucl-th,gr-qc
 L. G. Medeiros,astro-ph,gr-qc
 L. G. Mourokh,cond-mat.other,cond-mat.mtrl-sci
 L. Galgani,astro-ph,cond-mat.stat-mech
 L. Gualtieri,gr-qc,astro-ph
 L. Gustafsson,nucl-ex,hep-ex
 L. H. Ford,gr-qc,quant-ph
 L. H. Ymai,nlin.SI,hep-th
 L. He,cond-mat.other,cond-mat.mtrl-sci
 L. Hozoi,cond-mat.mtrl-sci,cond-mat.str-el
 L. I. Glazman,cond-mat.mes-hall,cond-mat.stat-mech
 L. I. Sarycheva,hep-ph,nucl-ex
 L. J. Wang,physics.ins-det,physics.optics
 L. Jiang,cond-mat.other,astro-ph
 L. Kaplan,quant-ph,cond-mat.mes-hall
 L. Lara,quant-ph,astro-ph
 L. Larsen,nucl-th,quant-ph
 L. M. Nieto,nlin.SI,quant-ph
 L. M. Zhang,cond-mat.mes-hall,hep-ex
 L. Moi,physics.class-ph,physics.atom-ph
 L. N. Bulaevskii,cond-mat.str-el,cond-mat.supr-con
 L. P. Csernai,nucl-th,hep-ph
 L. P. Pitaevskii,cond-mat.other,cond-mat.stat-mech
 L. Patthey,cond-mat.str-el,cond-mat.supr-con
 L. Platter,nucl-th,cond-mat.other
 L. Rezzolla,astro-ph,gr-qc
 L. S. Geng,hep-ph,nucl-th
 L. Salasnich,cond-mat.stat-mech,cond-mat.other
 L. Samuelson,cond-mat.mes-hall,cond-mat.mtrl-sci
 L. Santos,math.AP,cond-mat.other
 L. Sanz,quant-ph,cond-mat.mes-hall
 L. Sheng,cond-mat.str-el,cond-mat.mes-hall
 L. Silva,astro-ph,hep-ex
 L. Stodolsky,math-ph,physics.ins-det
 L. Tassan-Got,nucl-ex,nucl-th
 L. Tian,quant-ph,cond-mat.mes-hall
 L. Votano,hep-ex,astro-ph
 L. Willmann,physics.atom-ph,nucl-ex
 L. Yin,q-bio.MN,physics.plasm-ph
 L. Zhao,quant-ph,cond-mat.str-el
 Lai-Sang Young,nlin.CD,math.DS
 Lajos Diosi,quant-ph,cond-mat.mes-hall
 Lane A. Hemaspaandra,cs.GT,cs.CC
 Lane P. Hughston,hep-th,q-fin.PR
 Larry Wasserman,math.ST,stat.ML
 Lars Ronnegard,q-bio.OT,q-bio.QM
 Latha Venkataraman,cond-mat.mes-hall,cond-mat.mtrl-sci
 Latifa Elouadrhiri,hep-ex,hep-ph
 Lauren Williams,math.CO,math.AG
 Laurence R. Taylor,math.AG,math.GT
 Laurent Bartholdi,math.CO,math.GR
 Laurent Bruneau,math.PR,math-ph
 Laurent Freidel,hep-th,gr-qc
 Lauro Tomio,cond-mat.other,nucl-th
 Lawrence E. Kidder,astro-ph,gr-qc
 Lawrence M. Krauss,hep-ph,astro-ph
 Le Anh Vu,math.RA,math.DG
 Le Zhang,q-bio.CB,astro-ph
 Lea F. Santos,cond-mat.mes-hall,quant-ph
 Leah B. Shaw,nlin.CD,q-bio.PE
 Lee Samuel Finn,gr-qc,astro-ph
 Lei Wang,cond-mat.stat-mech,cond-mat.dis-nn
 Lei Zhang,q-bio.PE,astro-ph
 Leo T. Butler,math.ST,math.SG
 Leonid A. Mirny,physics.bio-ph,q-bio.MN
 Leonid P. Pryadko,quant-ph,cond-mat.mes-hall
 Leonid Shifrin,math-ph,hep-lat
 Leonid Vaserstein,math.GR,math.NT
 Leticia F. Cugliandolo,cond-mat.dis-nn,cond-mat.soft
 Lev Aizenberg,math.CV,math.NT
 Lev B. Ioffe,cond-mat.str-el,cond-mat.mes-hall
 Lev Birbrair,math.AG,math.MG
 Lev Glebsky,math.DS,math.GR
 Lev Kapitanski,math-ph,math.DS
 Lev Khaykovich,physics.optics,physics.atom-ph
 Lev Kofman,hep-th,astro-ph
 Lev S. Tsimring,cond-mat.other,cond-mat.soft
 Li Guo,math.NT,math.RA
 Li Han,physics.gen-ph,quant-ph
 Li Li,q-bio.OT,math.AG
 Li Wang,cond-mat.other,astro-ph
 Li Yu,quant-ph,cond-mat.supr-con
 Li Zhang,cond-mat.mtrl-sci,astro-ph
 Li-Ming Si,physics.class-ph,quant-ph
 Liang Peng,math.ST,quant-ph
 Liang-Jian Zou,cond-mat.str-el,cond-mat.stat-mech
 Liangpan Li,math.NT,math.CO
 Lianyi He,hep-ph,cond-mat.supr-con
 Libin Fu,quant-ph,cond-mat.mes-hall
 Licia Verde,hep-th,astro-ph
 Lifeng Wang,q-fin.RM,math.ST
 Liming Wu,math.FA,math.PR
 Lin Chen,math-ph,quant-ph
 Lin Zhao,math.AP,cond-mat.supr-con
 Lingaraj Sahu,math.OA,math.FA
 Lino Reggiani,cond-mat.other,q-bio.BM
 Linqing Wen,gr-qc,astro-ph
 Linsheng Zhu,math.RA,math.RT
 Lionel Levine,math.PR,math.CO
 Lior Pachter,q-bio.QM,q-bio.PE
 Lior Silberman,math.DS,math.GR
 Lixin Ran,physics.class-ph,physics.optics
 Lixin Xu,gr-qc,astro-ph
 Lode Pollet,cond-mat.other,cond-mat.stat-mech
 Loren N. Pfeiffer,cond-mat.str-el,cond-mat.mes-hall
 Lorenza Viola,cond-mat.mes-hall,quant-ph
 Lorenzo Zaninetti,physics.class-ph,astro-ph
 Louis E. Strigari,astro-ph,hep-ph
 Lu Li,cond-mat.other,cond-mat.mes-hall
 Lubos Mitas,physics.comp-ph,cond-mat.mes-hall
 Luc Devroye,math.PR,math.CO
 Luc Vinet,math.CA,nlin.SI
 Luca Dall'Asta,math-ph,physics.soc-ph
 Luca De Sanctis,cond-mat.stat-mech,physics.soc-ph
 Luca Guido Molinari,cond-mat.mtrl-sci,math.DG
 Luca Parisi,gr-qc,cond-mat.stat-mech
 Luca Vecchi,hep-th,hep-ph
 Lucas K. Wagner,physics.comp-ph,cond-mat.str-el
 Lucas Platter,cond-mat.other,nucl-th
 Luciano da F. Costa,cond-mat.dis-nn,physics.soc-ph
 Luigi Accardi,quant-ph,q-fin.PR
 Luigi Ambrosio,math.PR,math.AP
 Luigi Del Debbio,hep-lat,hep-th
 Luigi Delle Site,quant-ph,cond-mat.soft
 Luis A. Anchordoqui,astro-ph,physics.ed-ph
 Luis Lehner,gr-qc,astro-ph
 Lukas Meier,math.ST,stat.ME
 Luminita Mihaila,hep-ph,hep-th
 Lun-Shin Yao,math-ph,nlin.CD
 Lutz Mattner,math.PR,math.ST
 László Á. Gergely,gr-qc,astro-ph
 M B H Breese,astro-ph,physics.acc-ph
 M R Setare,hep-th,gr-qc
 M. -C. Chu,quant-ph,astro-ph
 M. -H. Whangbo,cond-mat.str-el,cond-mat.mtrl-sci
 M. A. Gonzalez Leon,math-ph,hep-th
 M. A. Hoefer,nlin.PS,cond-mat.mtrl-sci
 M. A. Hossain,cond-mat.str-el,cond-mat.supr-con
 M. A. Jivulescu,math-ph,quant-ph
 M. A. Korshunov,cond-mat.soft,physics.atm-clus
 M. A. Martin-Delgado,cond-mat.str-el,quant-ph
 M. A. Rajabpour,cond-mat.stat-mech,math-ph
 M. A. Shay,astro-ph,physics.plasm-ph
 M. A. Vasiliev,gr-qc,hep-th
 M. Aglietta,hep-ex,astro-ph
 M. Amenomori,astro-ph,hep-ex
 M. Antonelli,hep-ex,hep-ph
 M. Aprili,cond-mat.mes-hall,cond-mat.supr-con
 M. Arikawa,cond-mat.str-el,quant-ph
 M. Asorey,hep-th,cond-mat.str-el
 M. Azuma,cond-mat.str-el,cond-mat.supr-con
 M. B. A. Jalil,cond-mat.mes-hall,quant-ph
 M. B. Hastings,cond-mat.stat-mech,quant-ph
 M. B. Maple,cond-mat.supr-con,cond-mat.str-el
 M. B. Paranjape,hep-th,hep-lat
 M. B. Reyes,nlin.CD,cond-mat.stat-mech
 M. B. Sheftel,physics.class-ph,math-ph
 M. B. Tsang,nucl-ex,nucl-th
 M. Baldo,nucl-th,hep-ph
 M. Bashkanov,nucl-ex,hep-ex
 M. Bayer,cond-mat.mes-hall,cond-mat.other
 M. Bertola,math.GR,math-ph
 M. Blasone,hep-th,quant-ph
 M. Bleicher,nucl-th,hep-ph
 M. Boninsegni,cond-mat.stat-mech,cond-mat.other
 M. Bonitz,cond-mat.stat-mech,physics.plasm-ph
 M. Bordag,hep-th,quant-ph
 M. Brinkmann,gr-qc,cond-mat.soft
 M. Burak Erdogan,math.AP,math-ph
 M. C. Nemes,hep-th,quant-ph
 M. Cadoni,hep-th,math-ph
 M. Caselle,q-bio.BM,hep-lat
 M. Cazayous,cond-mat.soft,cond-mat.str-el
 M. Chamarro,cond-mat.other,cond-mat.mes-hall
 M. Ciafaloni,hep-th,hep-ph
 M. Coleman Miller,astro-ph,gr-qc
 M. Consoli,gr-qc,hep-ph
 M. Cosentino Lagomarsino,q-bio.QM,math.PR
 M. Cotallo,cond-mat.dis-nn,cs.AR
 M. Cristoforetti,hep-ph,hep-lat
 M. D. Betterton,math.PR,physics.bio-ph
 M. D. Lukin,cond-mat.other,quant-ph
 M. D. Vannette,cond-mat.supr-con,cond-mat.str-el
 M. Danilov,physics.ins-det,hep-ex
 M. De Napoli,nucl-ex,nucl-th
 M. De Sanctis,nucl-th,physics.gen-ph
 M. Di Ventra,cond-mat.mes-hall,cond-mat.mtrl-sci
 M. Diwan,hep-ph,physics.acc-ph
 M. Ducloy,quant-ph,physics.class-ph
 M. E. J. Newman,cond-mat.stat-mech,physics.data-an
 M. E. Schwartz,nlin.PS,cond-mat.mes-hall
 M. Ebrahim Foulaadvand,physics.soc-ph,cond-mat.stat-mech
 M. Evans,math.ST,stat.ME
 M. F. Lin,cond-mat.mes-hall,hep-lat
 M. Famiano,nucl-ex,nucl-th
 M. Fleischhauer,quant-ph,cond-mat.other
 M. Fonin,cond-mat.str-el,cond-mat.mtrl-sci
 M. Francaviglia,gr-qc,cond-mat.mtrl-sci
 M. Fuchs,nucl-ex,astro-ph
 M. Fujiwara,nucl-ex,astro-ph
 M. G. Catanesi,physics.ins-det,hep-ex
 M. G. Cosenza,nlin.CD,physics.soc-ph
 M. G. Garnier,cond-mat.other,cond-mat.str-el
 M. G. Kozlov,astro-ph,physics.atom-ph
 M. G. Raizen,quant-ph,cond-mat.other
 M. Gabay,cond-mat.supr-con,cond-mat.str-el
 M. Garbini,hep-ex,astro-ph
 M. Garst,cond-mat.mes-hall,cond-mat.str-el
 M. Gilowski,quant-ph,physics.atom-ph
 M. Gintner,nucl-th,hep-ph
 M. Giorgi,hep-ph,hep-ex
 M. Golosovsky,cond-mat.str-el,cond-mat.soft
 M. Green,physics.ins-det,physics.gen-ph
 M. Gregoric,hep-ph,quant-ph
 M. Grifoni,cond-mat.mes-hall,cond-mat.stat-mech
 M. Gyulassy,nucl-th,hep-ph
 M. H. Upton,cond-mat.supr-con,cond-mat.str-el
 M. Hagiwara,cond-mat.mtrl-sci,cond-mat.str-el
 M. Haque,cond-mat.str-el,cond-mat.mes-hall
 M. Harti,cs.CL,cond-mat.other
 M. Hashimoto,cond-mat.supr-con,cond-mat.str-el
 M. Hjorth-Jensen,quant-ph,nucl-th
 M. Holman,astro-ph,quant-ph
 M. Houzet,cond-mat.mes-hall,cond-mat.supr-con
 M. Huang,cond-mat.mtrl-sci,astro-ph
 M. I. Katsnelson,cond-mat.mes-hall,cond-mat.str-el
 M. I. Shehata,nlin.CG,q-bio.PE
 M. I. Tsindlekht,cond-mat.str-el,cond-mat.supr-con
 M. Ichioka,cond-mat.supr-con,cond-mat.str-el
 M. Ido,cond-mat.str-el,cond-mat.supr-con
 M. Ikeda,physics.ins-det,astro-ph
 M. Inguscio,cond-mat.other,gr-qc
 M. Ishigami,cond-mat.mtrl-sci,cond-mat.other
 M. Itoh,nucl-ex,cond-mat.str-el
 M. Iwasaki,nucl-ex,physics.ins-det
 M. J. Graf,cond-mat.str-el,cond-mat.mes-hall
 M. J. Irwin,astro-ph,cs.AR
 M. J. P. Gingras,cond-mat.dis-nn,cond-mat.stat-mech
 M. J. Schmidt,cond-mat.dis-nn,cond-mat.mtrl-sci
 M. J. Vicente Vacas,hep-ph,nucl-th
 M. J. Vicente-Vacas,hep-ph,nucl-th
 M. Jacewicz,nucl-ex,hep-ex
 M. Janicki,cond-mat.mtrl-sci,physics.gen-ph
 M. Jansen,cond-mat.str-el,cond-mat.mtrl-sci
 M. Jarrell,cond-mat.str-el,cond-mat.supr-con
 M. Jeng,cond-mat.stat-mech,cond-mat.dis-nn
 M. Jimbo,math.QA,hep-th
 M. Johanning,quant-ph,physics.atom-ph
 M. Jones,hep-ph,physics.ins-det
 M. Junker,nucl-ex,cond-mat.other
 M. Jurkovic,nucl-ex,astro-ph
