primary_category,y_min,y_max,c_start,c_end,pct_change
quant-ph,2007,2025,8968,14046,56.62
physics.atom-ph,2007,2025,550,816,48.36
q-bio.GN,2007,2025,136,200,47.06
cs.SY,2010,2025,13,19,46.15
math.DS,2007,2025,1413,2064,46.07
math.NT,2007,2025,2463,3572,45.03
math.PR,2007,2025,2599,3596,38.36
math.FA,2007,2025,1296,1779,37.27
q-bio.BM,2007,2025,246,336,36.59
math.MG,2007,2025,415,559,34.70
q-fin.PR,2008,2025,61,77,26.23
math.GR,2007,2025,1127,1374,21.92
math.HO,2007,2025,200,241,20.50
q-bio.CB,2007,2025,54,65,20.37
cond-mat.mes-hall,2007,2025,3345,3981,19.01
cond-mat.soft,2007,2025,2003,2241,11.88
gr-qc,2007,2025,4428,4911,10.91
math.AT,2007,2025,804,885,10.07
math.RT,2007,2025,1333,1438,7.88
physics.bio-ph,2007,2025,479,508,6.05
physics.ed-ph,2007,2025,305,311,1.97
math.MP,2025,2025,1,1,0.00
stat.TH,2025,2025,1,1,0.00
cond-mat.str-el,2007,2025,3447,3225,-6.44
math.GN,2007,2025,266,244,-8.27
math.RA,2007,2025,1002,912,-8.98
physics.hist-ph,2007,2025,223,202,-9.42
math.CA,2007,2025,1121,1015,-9.46
math.CV,2007,2025,979,824,-15.83
nucl-ex,2007,2025,613,502,-18.11
math.AC,2007,2025,953,772,-18.99
math.GM,2007,2025,536,422,-21.27
math.SP,2007,2025,464,357,-23.06
physics.acc-ph,2007,2025,518,392,-24.32
mtrl-th,2008,2016,31,23,-25.81
math.DG,2007,2025,3320,2460,-25.90
math.GT,2007,2025,1897,1375,-27.52
math.AG,2007,2025,4939,3471,-29.72
math.SG,2007,2025,640,447,-30.16
q-bio.MN,2007,2025,197,133,-32.49
nlin.PS,2007,2025,358,221,-38.27
math.KT,2007,2025,296,181,-38.85
cond-mat.supr-con,2007,2025,2700,1645,-39.07
hep-th,2007,2025,8112,4793,-40.91
nucl-th,2007,2025,2370,1386,-41.52
hep-lat,2007,2025,1116,643,-42.38
nlin.AO,2007,2025,282,162,-42.55
nlin.CG,2007,2025,64,36,-43.75
hep-ex,2007,2025,2238,1247,-44.28
math-ph,2007,2025,3289,1658,-49.59
physics.class-ph,2007,2025,515,256,-50.29
hep-ph,2007,2025,12533,6218,-50.39
cond-mat.stat-mech,2007,2025,4158,2047,-50.77
math.OA,2007,2025,1254,608,-51.52
physics.pop-ph,2007,2025,84,39,-53.57
cond-mat.dis-nn,2007,2025,1349,595,-55.89
cs.OH,2007,2025,124,53,-57.26
physics.atm-clus,2007,2025,97,41,-57.73
nlin.SI,2007,2025,588,243,-58.67
q-bio.SC,2007,2025,56,23,-58.93
physics.data-an,2007,2025,326,124,-61.96
comp-gas,2007,2020,8,3,-62.50
funct-an,2007,2025,17,6,-64.71
nlin.CD,2007,2025,932,309,-66.85
math.QA,2007,2025,2162,543,-74.88
physics.gen-ph,2007,2025,1571,337,-78.55
plasm-ph,2008,2017,6,1,-83.33
ao-sci,2008,2018,7,1,-85.71
cond-mat.other,2007,2025,1079,138,-87.21
atom-ph,2008,2017,16,2,-87.50
bayes-an,2008,2016,9,1,-88.89
supr-con,2008,2022,9,1,-88.89
cs.GL,2007,2025,21,2,-90.48
chem-ph,2008,2019,35,3,-91.43
q-fin.EC,2014,2025,26,2,-92.31
acc-phys,2008,2019,27,2,-92.59
alg-geom,2007,2025,90,5,-94.44
patt-sol,2007,2025,45,2,-95.56
adap-org,2007,2023,63,2,-96.83
cs.NA,2007,2024,40,1,-97.50
solv-int,2007,2024,189,4,-97.88
cmp-lg,2007,2022,105,2,-98.10
dg-ga,2007,2025,62,1,-98.39
q-alg,2007,2024,83,1,-98.80
chao-dyn,2007,2024,246,1,-99.59
cond-mat,2007,2025,2283,4,-99.82
astro-ph,2007,2025,19420,8,-99.96
