primary_category,avg_versions,n_papers
physics.atm-clus,1.3106719367588933,1265
physics.app-ph,1.3058889198995256,10749
cs.OH,1.296137339055794,2097
astro-ph,1.2935913220684385,94216
physics.space-ph,1.2922564529558702,2402
funct-an,1.26875,320
chem-ph,1.265625,128
astro-ph.SR,1.2574223220262128,46313
cond-mat,1.2551092318534178,11352
solv-int,1.231042654028436,844
chao-dyn,1.2152542372881356,1770
atom-ph,1.1911764705882353,68
adap-org,1.1868852459016392,305
plasm-ph,1.1785714285714286,28
supr-con,1.173913043478261,69
patt-sol,1.168141592920354,452
cmp-lg,1.1588366890380313,894
comp-gas,1.1571428571428573,140
mtrl-th,1.1515151515151516,165
acc-phys,1.108695652173913,46
