cat_a,cat_b,pair_count
stat.AP,stat.ME,5536
cs.AI,cs.CR,5483
cs.DC,cs.LG,5235
cs.CL,eess.AS,5193
math.ST,stat.ME,5193
stat.ME,stat.TH,5193
cs.AI,cs.IR,5179
hep-ex,nucl-th,5179
cs.LG,eess.SY,5103
cond-mat.mtrl-sci,cond-mat.soft,5086
math.OC,stat.ML,5078
cs.RO,eess.SY,5068
stat.ME,stat.ML,5006
math-ph,math.DG,5004
math.DG,math.MP,5004
math.CO,math.NT,4953
astro-ph.EP,astro-ph.IM,4906
cs.CY,cs.LG,4900
cond-mat.mtrl-sci,cond-mat.supr-con,4853
hep-lat,nucl-th,4764
math.CO,math.PR,4736
cond-mat.soft,physics.bio-ph,4726
astro-ph.IM,astro-ph.SR,4666
cs.IT,cs.LG,4603
cs.LG,math.IT,4603
astro-ph.HE,astro-ph.IM,4597
stat.ML,stat.TH,4596
math.ST,stat.ML,4595
cond-mat.mtrl-sci,physics.chem-ph,4568
cs.CL,cs.SD,4557
math.QA,math.RT,4521
cond-mat.mtrl-sci,physics.comp-ph,4489
cs.AI,cs.NE,4447
math.AG,math.RT,4360
cs.CV,cs.GR,4347
hep-th,nucl-th,4318
math.AC,math.AG,4267
hep-th,math.QA,4257
math.PR,stat.TH,4225
math.PR,math.ST,4223
math-ph,math.QA,4116
math.MP,math.QA,4116
cs.LG,cs.SI,4042
astro-ph.CO,astro-ph.IM,4020
astro-ph.GA,astro-ph.IM,4016
cs.CV,cs.MM,3974
math.AP,math.PR,3902
cs.LG,stat.ME,3810
cs.HC,cs.LG,3803
math-ph,math.SP,3797
math.MP,math.SP,3797
cond-mat.soft,physics.flu-dyn,3781
math.FA,math.OA,3771
cs.AI,cs.MA,3719
math.AG,math.CO,3686
cond-mat.mtrl-sci,cond-mat.stat-mech,3631
cond-mat.mtrl-sci,physics.optics,3585
cs.LG,stat.TH,3578
cs.LG,math.ST,3577
math.CO,math.RT,3532
math.RA,math.RT,3466
cs.AI,cs.SE,3441
physics.chem-ph,physics.comp-ph,3428
math.GR,math.GT,3412
cs.CY,cs.HC,3363
cond-mat.quant-gas,cond-mat.str-el,3361
stat.CO,stat.ME,3356
math.AP,math.FA,3324
cs.DM,cs.DS,3286
physics.chem-ph,quant-ph,3271
cs.DS,cs.LG,3245
cs.LG,cs.NA,3237
math.AG,math.DG,3219
math.NA,math.OC,3217
cond-mat.mes-hall,cond-mat.stat-mech,3159
hep-th,math.AG,3157
physics.comp-ph,physics.flu-dyn,3156
cond-mat.mes-hall,physics.app-ph,3150
cs.LG,math.NA,3119
cond-mat.quant-gas,physics.atom-ph,3075
astro-ph.SR,physics.space-ph,3072
cs.AI,eess.AS,3042
hep-th,nlin.SI,3005
math.DS,math.MP,2989
math-ph,math.DS,2988
astro-ph.HE,nucl-th,2970
cond-mat.other,quant-ph,2964
cs.AI,cs.SD,2908
math.OC,math.PR,2907
cs.IT,cs.NI,2906
cs.NI,math.IT,2906
math.AP,math.NA,2887
cs.CL,cs.CY,2878
physics.atom-ph,physics.optics,2857
cond-mat.mtrl-sci,cond-mat.other,2847
math.CA,math.FA,2777
cs.CC,cs.DS,2760
hep-th,math.DG,2759
cs.CY,cs.SI,2754
