author,first_year,last_year,active_span_years,paper_count
 F. Wang,2007,2025,18,548
 Liang Wang,2007,2025,18,545
 Th. Henning,2007,2025,18,543
 P. Zhang,2007,2025,18,542
 A. Mauri,2007,2025,18,541
 L. Liu,2007,2025,18,539
 G. Zamorani,2007,2025,18,537
 Yi Li,2007,2025,18,537
 A. Tsaregorodtsev,2007,2025,18,536
 Xiang Liu,2007,2025,18,536
 Ping Zhang,2007,2025,18,536
 J. Anderson,2007,2025,18,535
 Hui Liu,2007,2025,18,534
 L. Wang,2007,2025,18,532
 Abraham Loeb,2007,2025,18,531
 Yong Wang,2007,2025,18,530
 W. Xu,2007,2025,18,528
 Lars Hernquist,2007,2025,18,527
 Tao Zhang,2007,2025,18,527
 Qiang Zhang,2007,2025,18,527
 C. Dong,2007,2025,18,525
 W. N. Brandt,2007,2025,18,524
 Bo Liu,2007,2025,18,523
 Tao Zhou,2007,2025,18,522
 Shi Jin,2007,2025,18,522
 Wei Wu,2007,2025,18,521
 Chau Yuen,2007,2025,18,520
 Ling Zhao,2007,2025,18,519
 Alexei V. Filippenko,2007,2025,18,518
 Di Wu,2007,2025,18,517
 A. Sergi,2007,2025,18,517
 W. Kucewicz,2007,2025,18,514
 P. G. Kevrekidis,2007,2025,18,514
 L. Yuan,2007,2025,18,514
 Tao Li,2007,2025,18,511
 Jie Wang,2007,2025,18,510
 Li Wang,2007,2025,18,509
 Qian Wang,2007,2025,18,509
 Qiang Li,2007,2025,18,509
 W. M. Liu,2007,2025,18,508
 R. Kumar,2007,2025,18,508
 Jun Zhao,2007,2025,18,505
 Luis C. Ho,2007,2025,18,505
 V. Zhukov,2007,2025,18,503
 Xin Chen,2007,2025,18,501
 K. M. Menten,2007,2025,18,501
 S. Roiser,2007,2025,18,500
 S. Schael,2007,2025,18,499
 Jie Xu,2007,2025,18,498
 Ying Li,2007,2025,18,498
 Daniel Loss,2007,2025,18,498
 J. Lee,2007,2025,18,498
 S. Simone,2007,2025,18,497
 M. De Serio,2007,2025,18,497
 J. van Tilburg,2007,2025,18,497
 E. Oset,2007,2025,18,497
 K. Watanabe,2007,2025,18,492
 Boris A. Malomed,2007,2025,18,492
 Z. Chen,2007,2025,18,492
 T. Kirn,2007,2025,18,490
 R. A. Fini,2007,2025,18,489
 Fei Gao,2007,2025,18,489
 H. Zhou,2007,2025,18,489
 S. Yang,2007,2025,18,489
 G. Yu,2007,2025,18,487
 W. Li,2007,2025,18,487
 T. Wang,2007,2025,18,487
 G. Veneziano,2007,2025,18,486
 R. Miquel,2007,2025,18,485
 Yi Zhou,2007,2025,18,485
 F. M. Peeters,2007,2025,18,484
 K. Trabelsi,2007,2025,18,484
 E. Sanchez,2007,2025,18,479
 H. Park,2007,2025,18,478
 Xiao Zhang,2007,2025,18,478
 Y. Zhou,2007,2025,18,476
 S. Paul,2007,2025,18,476
 S. Li,2007,2025,18,476
 J. J. Zhang,2007,2025,18,475
 A. Udalski,2007,2025,18,474
 S. Kabana,2007,2025,18,473
 David W. Latham,2007,2025,18,472
 Y. P. Huang,2007,2025,18,470
 R. B. Appleby,2007,2025,18,468
 F. Simon,2007,2025,18,468
 Y. Iwasaki,2007,2025,18,468
 N. C. Santos,2007,2025,18,467
 Shao-Ming Fei,2007,2025,18,467
 Chao Li,2007,2025,18,465
 Bing Zhang,2007,2025,18,465
 A. Popov,2007,2025,18,463
 Jian-Wei Pan,2007,2025,18,462
 P. Ciambrone,2007,2025,18,461
 Hong Liu,2007,2025,18,460
 Zhu Han,2007,2025,18,458
 Dong Li,2007,2025,18,458
 Delfim F. M. Torres,2007,2025,18,458
 Shinji Watanabe,2007,2025,18,458
 Yan Liu,2007,2025,18,455
 R. Itoh,2007,2025,18,452
 Jun Zhu,2007,2025,18,451
 Peng Gao,2007,2025,18,451
 S. Ali,2007,2025,18,450
 Daniel Stern,2007,2025,18,450
 Indranil Biswas,2007,2025,18,450
 Ying Zhang,2007,2025,18,450
 M. Uchida,2007,2025,18,450
 Xiao Liu,2007,2025,18,447
 J. Wu,2007,2025,18,446
 Chen Zhang,2007,2025,18,445
 Yonina C. Eldar,2007,2025,18,445
 Jian Liu,2007,2025,18,443
 S. Covino,2007,2025,18,442
 E. Won,2007,2025,18,441
 M. Weber,2007,2025,18,440
 Heng Fan,2007,2025,18,440
 Jun Xu,2007,2025,18,440
 L. N. Pfeiffer,2007,2025,18,439
 A. Chen,2007,2025,18,439
 Joshua N. Winn,2007,2025,18,439
 Hans-Walter Rix,2007,2025,18,437
 Xiang Zhang,2007,2025,18,437
 Petar Popovski,2007,2025,18,436
 Robert Schober,2007,2025,18,436
 H. Wu,2007,2025,18,435
 Ping Li,2007,2025,18,434
 Kai Liu,2007,2025,18,434
 Detlef Lohse,2007,2025,18,434
 M. Nakao,2007,2025,18,433
 R. J. Ivison,2007,2025,18,432
 H. Hayashii,2007,2025,18,432
 R. Mussa,2007,2025,18,432
 Jia Li,2007,2025,18,432
 Feng Wang,2007,2025,18,431
 T. E. Browder,2007,2025,18,431
 Tao Chen,2007,2025,18,430
 H. Xiao,2007,2025,18,429
 I. Adachi,2007,2025,18,429
 W. Rhode,2007,2025,18,428
 J. Xu,2007,2025,18,428
 Gang Wang,2007,2025,18,427
 Yue Yu,2007,2025,18,427
 F. Combes,2007,2025,18,427
 Y. Huang,2007,2025,18,426
 T. Yang,2007,2025,18,426
 Yuan Li,2007,2025,18,425
 Jun Ma,2007,2025,18,425
 Q. Zhao,2007,2025,18,424
 S. Yoshida,2007,2025,18,424
 Zheng Wang,2007,2025,18,424
 G. Auriemma,2007,2025,18,423
 M. Albrecht,2007,2025,18,423
 Lin Chen,2007,2025,18,423
 Yang Zhao,2007,2025,18,422
 Long Chen,2007,2025,18,422
 Anton M. Koekemoer,2007,2025,18,421
 Ralf S. Klessen,2007,2025,18,421
 John Ellis,2007,2025,18,421
 Qiang Liu,2007,2025,18,420
 Hui Wang,2007,2025,18,419
 J. S. Li,2007,2025,18,418
 T. Kawasaki,2007,2025,18,418
 Zhen Zhang,2007,2025,18,417
 Lei Yang,2007,2025,18,416
 Peng Li,2007,2025,18,416
 J. Yuan,2007,2025,18,414
 K. W. West,2007,2025,18,413
 Yang Yu,2007,2025,18,413
 Y. Q. Chen,2007,2025,18,412
 Joseph Silk,2007,2025,18,412
 S. Ponce,2007,2025,18,411
 F. Liu,2007,2025,18,411
 A. Lusiani,2007,2025,18,411
 M. I. Katsnelson,2007,2025,18,411
 Z. Ye,2007,2025,18,411
 E. Bernardini,2007,2025,18,410
 R. Baldini Ferroli,2007,2025,18,410
 J. Smith,2007,2025,18,410
 W. J. Zheng,2007,2025,18,409
 Michael I. Jordan,2007,2025,18,409
 M. Wilkinson,2007,2025,18,408
 Y. Choi,2007,2025,18,408
 C. Wu,2007,2025,18,408
 D. Müller,2007,2025,18,407
 Jun Chen,2007,2025,18,407
 M. -H. Schune,2007,2025,18,406
 Qi Li,2007,2025,18,405
 K. Abe,2007,2025,18,405
 J. Kim,2007,2025,18,405
 P. C. Canfield,2007,2025,18,404
 Volker Springel,2007,2025,18,404
 H. Yamamoto,2007,2025,18,402
 T. Xiang,2007,2025,18,401
 K. Kinoshita,2007,2025,18,401
 Maciej Lewenstein,2007,2025,18,400
 Wei Sun,2007,2025,18,400
  .,2007,2025,18,399
 Joop Schaye,2007,2025,18,399
 Hao Xu,2007,2025,18,399
 A. Sokolov,2007,2025,18,399
 S. Stoica,2007,2025,18,398
 R. Wang,2007,2025,18,398
 R. Mizuk,2007,2025,18,397
 Fan Wang,2007,2025,18,396
 X. Zhang,2007,2025,18,396
 K. Miyabayashi,2007,2025,18,394
 Tao Liu,2007,2025,18,394
 X. Bai,2007,2025,18,393
 Bing Li,2007,2025,18,392
 R. Engel,2007,2025,18,392
 V. V. Flambaum,2007,2025,18,391
 J. M. Conrad,2007,2025,18,390
 D. Queloz,2007,2025,18,389
 Qing Wang,2007,2025,18,388
 Xiao Li,2007,2025,18,388
 R. Rebolo,2007,2025,18,388
 M. H. Schune,2007,2025,18,387
 Ying Wang,2007,2025,18,387
 Angel Rubio,2007,2025,18,387
 Y. Zhao,2007,2025,18,387
 Y. G. Ma,2007,2025,18,384
 D. Scott,2007,2025,18,384
 R. Genzel,2007,2025,18,384
 Claudia Felser,2007,2025,18,383
 Wei Lu,2007,2025,18,383
 Jin Wang,2007,2025,18,383
 H. Y. Xu,2007,2025,18,382
 X. Jiang,2007,2025,18,382
 G. Varner,2007,2025,18,381
 Subir Sachdev,2007,2025,18,381
 Y. Shimizu,2007,2025,18,380
 X. Huang,2007,2025,18,380
 W. H. Wang,2007,2025,18,379
 Peng Xu,2007,2025,18,379
 T. Bulik,2007,2025,18,379
 Wei Jiang,2007,2025,18,379
 Z. J. Chen,2007,2025,18,378
 Lin Zhang,2007,2025,18,378
 C. Zhong,2007,2025,18,378
 Ying Chen,2007,2025,18,378
 L. Zhou,2007,2025,18,378
 A. Lebedev,2007,2025,18,377
 X. M. Zhang,2007,2025,18,377
 Xu Zhang,2007,2025,18,375
 Jia Liu,2007,2025,18,375
 J. Wilms,2007,2025,18,374
 Jie Ren,2007,2025,18,374
 Liang Zhao,2007,2025,18,374
 S. Campana,2007,2025,18,374
 Yuan Gao,2007,2025,18,372
 S. R. Kulkarni,2007,2025,18,371
 R. Poling,2007,2025,18,371
 M. Iwasaki,2007,2025,18,370
 P. A. R. Ade,2007,2025,18,370
 B. M. Gaensler,2007,2025,18,370
 T. Hara,2007,2025,18,370
 A. Valassi,2007,2025,18,370
 A. Kumar,2007,2025,18,369
 Fabian Walter,2007,2025,18,369
 L. Zhu,2007,2025,18,369
 Wei Huang,2007,2025,18,368
 S. Liu,2007,2025,18,368
 C. H. Wang,2007,2025,18,368
 Nan Li,2007,2025,18,368
 Satya N. Majumdar,2007,2025,18,367
 M. Wolf,2007,2025,18,366
 Xin Zhou,2007,2025,18,366
 Martin White,2007,2025,18,366
 Jun Yang,2007,2025,18,366
 Y. Luo,2007,2025,18,366
 M. Szymanski,2007,2025,18,365
 S. Das,2007,2025,18,365
 Giuseppe Caire,2007,2025,18,365
 Salvatore Capozziello,2007,2025,18,365
 M. Meissner,2007,2025,18,364
 Lu Wang,2007,2025,18,363
 Xiaoyu Li,2007,2025,18,363
 M. Takizawa,2007,2025,18,363
 C. Kim,2007,2025,18,363
 Wei Zhou,2007,2025,18,362
 Tao Xiang,2007,2025,18,362
 Jin Li,2007,2025,18,362
 J. Park,2007,2025,18,362
 T. Taniguchi,2007,2025,18,361
 Lin Li,2007,2025,18,361
 Chao Liu,2007,2025,18,361
 D. Cinabro,2007,2025,18,360
 Yue Wu,2007,2025,18,360
 S. H. Kim,2007,2025,18,360
 A. Morozov,2007,2025,18,359
 Ping Luo,2007,2025,18,358
 M. Sumihama,2007,2025,18,358
 S. H. Lee,2007,2025,18,358
 Lei Liu,2007,2025,18,357
 Y. Watanabe,2007,2025,18,357
 Yu Zhou,2007,2025,18,357
 Jian Wu,2007,2025,18,356
 R. Maiolino,2007,2025,18,356
 Tat-Seng Chua,2007,2025,18,355
 C. Vignali,2007,2025,18,355
 G. Lagache,2007,2025,18,354
 M. Roth,2007,2025,18,354
 Bin Yang,2007,2025,18,354
 R. A. Gruendl,2007,2025,18,354
 Yao Wang,2007,2025,18,353
 Yuan Zhang,2007,2025,18,353
 A. W. Thomas,2007,2025,18,352
 Di Li,2007,2025,18,352
 Rong-Gen Cai,2007,2025,18,351
 Muneto Nitta,2007,2025,18,351
 S. Zhou,2007,2025,18,350
 M. Sharif,2007,2025,18,350
 Timothy C. Beers,2007,2025,18,349
 Jian Tang,2007,2025,18,348
 S. Aoki,2007,2025,18,348
 A. Quirrenbach,2007,2025,18,348
 A. Santangelo,2007,2025,18,347
 Ke Xu,2007,2025,18,347
 Ming Zhang,2007,2025,18,347
 J. Panman,2007,2025,18,347
 Kai Sun,2007,2025,18,347
 Song Wang,2007,2025,18,346
 Eliot Quataert,2007,2025,18,345
 Huan Yang,2007,2025,18,344
  CDF Collaboration,2007,2025,18,344
 Yuri S. Kivshar,2007,2025,18,343
 Y. Onuki,2007,2025,18,343
 Motohide Tamura,2007,2025,18,343
 R. J. Cava,2007,2025,18,343
